iter	Passed	Remaining
730	6770	2491
731	6778	2481
732	6787	2472
733	6796	2462
734	6805	2453
735	6813	2443
736	6822	2434
737	6830	2424
738	6837	2414
739	6845	2405
740	6853	2395
741	6861	2385
742	6870	2376
743	6878	2366
744	6886	2356
745	6894	2347
746	6902	2337
747	6911	2328
748	6919	2318
749	6926	2308
750	6934	2299
751	6944	2290
752	6954	2281
753	6963	2272
754	6973	2263
755	6986	2254
756	6996	2245
757	7007	2237
758	7018	2228
759	7028	2219
760	7038	2210
761	7051	2202
762	7066	2194
763	7076	2186
764	7091	2178
765	7103	2169
766	7112	2160
767	7124	2152
768	7131	2142
769	7138	2132
770	7145	2122
771	7153	2112
772	7161	2102
773	7168	2093
774	7176	2083
775	7184	2073
776	7191	2063
777	7198	2054
778	7205	2044
779	7213	2034
780	7219	2024
781	7227	2014
782	7235	2005
783	7243	1995
784	7250	1985
785	7257	1976
786	7264	1966
787	7272	1956
788	7279	1946
789	7286	1937
790	7298	1928
791	7305	1918
792	7313	1908
793	7319	1899
794	7326	1889
795	7333	1879
796	7341	1869
797	7347	1859
798	7355	1850
799	7361	1840
800	7368	1830
801	7375	1820
802	7381	1810
803	7388	1801
804	7396	1791
805	7403	1781
806	7410	1772
807	7416	1762
808	7423	1752
809	7431	1743
810	7438	1733
811	7447	1724
812	7455	1714
813	7462	1705
814	7469	1695
815	7481	1686
816	7489	1677
817	7497	1668
818	7504	1658
819	7511	1648
820	7518	1639
821	7525	1629
822	7532	1620
823	7540	1610
824	7547	1601
825	7555	1591
826	7562	1581
827	7569	1572
828	7576	1562
829	7583	1553
830	7591	1543
831	7599	1534
832	7606	1524
833	7613	1515
834	7621	1506
835	7629	1496
836	7636	1487
837	7644	1477
838	7652	1468
839	7659	1458
840	7666	1449
841	7674	1440
842	7683	1430
843	7691	1421
844	7698	1412
845	7705	1402
846	7712	1393
847	7719	1383
848	7727	1374
849	7733	1364
850	7740	1355
851	7746	1345
852	7752	1336
853	7759	1326
854	7765	1316
855	7771	1307
856	7778	1297
857	7785	1288
858	7791	1278
859	7798	1269
860	7804	1259
861	7811	1250
862	7817	1241
863	7823	1231
864	7831	1222
865	7837	1212
866	7844	1203
867	7850	1193
868	7857	1184
869	7863	1175
870	7869	1165
871	7878	1156
872	7885	1147
873	7891	1137
874	7898	1128
875	7905	1119
876	7911	1109
877	7917	1100
878	7923	1090
879	7929	1081
880	7936	1071
881	7942	1062
882	7949	1053
883	7955	1043
884	7962	1034
885	7968	1025
886	7975	1015
887	7982	1006
888	7988	997
889	7995	988
890	8001	978
891	8008	969
892	8015	960
893	8021	951
894	8028	941
895	8034	932
896	8042	923
897	8050	914
898	8058	905
899	8065	896
900	8076	887
901	8085	878
902	8092	869
903	8099	860
904	8105	850
905	8111	841
906	8119	832
907	8127	823
908	8136	814
909	8144	805
910	8154	796
911	8164	787
912	8173	778
913	8183	769
914	8193	761
915	8201	752
916	8208	743
917	8217	734
918	8228	725
919	8235	716
920	8244	707
921	8252	698
922	8259	689
923	8266	679
924	8276	671
925	8285	662
926	8294	653
927	8303	644
928	8312	635
929	8320	626
930	8332	617
931	8340	608
932	8351	599
933	8362	590
934	8370	581
935	8380	573
936	8389	564
937	8399	555
938	8408	546
939	8417	537
940	8426	528
941	8436	519
942	8445	510
943	8454	501
944	8461	492
945	8470	483
946	8478	474
947	8487	465
948	8497	456
